00508A	Print LST/CST Number	PrintSTRegnNO
00509A	Number of lines Used for Header and Footer	POSPrintHdrFooterLines
00510A	Printer Supports Auto Cut	PrinterAutoCutFeature
00511A	Number of Blank Lines to be Printed	POSPrintBlankLines
00512A	SmartCard Interface Used In Billing	SmartCardInstalled
00513A	Maximum No.of lines to be printed in a bill	NoLinesInBill
00513B	Print Header and Footer details for all pages	PrintHeaderInMultiplePage
00513C	Bill Form Length (in Lines)	SetFormSize
00514A	No.of Characters in a line for Extended Item Description	NoCharInLineExtItmDesc
00515A	Item Foot Notes to be Printed In Bill	WashingCharPrintBill
00516A	Print Item Wise Tax Break	PrnItemWiseTaxBreak
00516B	Print Sales Tax Component	PrnSalesTaxComponent
00516C	Print Sales Tax Caption	PrnSalesTaxCaption
00516D	Print Sales Tax Amt or Rate	PrnSalesTaxAmtOrRate
00516E	Print Border Line or Blank	PrnBorderLineOrBlank
00516F	No. of Characters to Print the VAT Caption	NoCharPrnVATCaption
00600A	Node Creation Allowed	NodeCreationAllowed
00600B	Node Wise Numbering Allowed	NodeWiseNumAllowed
00600C	Maintain Node-wise Devices In Billing	NodewiseDevices
00600D	Node ID Role In Bill	NodeIDRoleInBill
00600E	Node ID Role In Void Bill	NodeIDRoleInVoidBill
00600F	Node ID Role In Return	NodeIDRoleInReturn
00600G	Node ID Role In Void Return	NodeIDRoleInVoidRtn
00600H	Node ID Role In Cash	NodeIDRoleInCash
00600I	Node ID Role in Goods Inwards	NodeIDRoleInGIR
00600J	Node ID Role In GOR	NodeIDRoleInGOR
00600K	Node ID Role In Physical Stock	NodeIDRoleInPhyStk
00600L	Node ID Role In Other Transactions	NodeIDRoleInOthers
00700A	Payin Slip Caption	PayInSlipCaption
00700B	Bank where Cheque is deposited	DepositBank
00700C	Bank Address Line 1 (where Cheque is deposited)	DepositBankAddLine1
00700D	Bank Address Line 2 (where Cheque is deposited)	DepositBankAddLine2
00700E	Bank Address Line 3 (where Cheque is deposited)	DepositBankAddLine3
00700F	Franchisee Name	FranName
00700G	Card PIF Number	CardPIFNumber
00700H	Cash PIF Number	CashPIFNumber
00700I	Franchisee Code	FranchiseeCode
00700J	Head Office Name	HoName
00700K	Minimum days For Cash Overdue	CashMinDaysForOverDue
00700L	Minimum days For Credit Overdue	CreditMinDaysForOverDue
00700M	Interest Rate For Card Overdue	OverdueCreditInterestRate
00700N	Interest Rate For Cash Overdue	OverdueCashInterestRate
00700O	Card Overdue Balance	CreditOverdueBal
00700P	Cash Overdue Balance	CashOverdueBal
00700Q	Reduce From Cash Or Card A/c	CashOrCreditRtn
00700R	Financial Year	FiscalYear
00700S	Turn Over Tax Rate	TOTRate
00700T	Calculation Of Sales Commission Report-Value computation for TOT	TOTValueSelection
00800A	Stock No. Barcode Stripping Required in Billing	BarCodeStrip
00800B	Stripping from Left Side of Stock No./ Barcode	StrippingLeftOrRight
00800C	Stock No. Length in Barcode	StockNoLength
00800D	Stripping Length in Barcode	StrippingLength
00800E	StockNo Decoding Option	StockNoDecodingOption
00800F	Default SKU Decoding (Padding) Rule	DefaultSKUDecodeRule
00800G	Style Decoding Option	StyleDecodingOption
00800H	Default Style Decoding (Padding) Rule	DefaultStyleDecodeRule
00900A	Customer Display Type	CustDisplayType
00900B	Cash Draw Present	CashDrawPresent
01000A	Activate PO Suggested Order	PO_suggested_order
01000B	Method followed for Demand Projection  In Suggested Order	PO_method_for_demand_Proj
01000C	Time units for computing projection  In Suggested Order	PO_demand_proj_time_unit
01000D	Number of units for computing projection in Suggested Order	PO_demand_proj_time_count
01000E	Time units for computing average sale  In Suggested Order	PO_avg_sale_time_unit
01000F	Number of units for computing average sale in Suggested Order	PO_avg_sale_time_count
01000G	Maximum Stock Carrying value type in Suggested Order	PO_max_stock_val_type
01000H	Maximum Stock Carrying value in Suggested Order	PO_max_stock_val_amt
01100A	Expected Transaction Titles	EXPTTRNTITLE
01100B	Min Lines For Expected Transaction Print	MinLinesForExptTrn
01100C	Print Expected Transaction Header	PrintExptTrnHdr
01100D	Print Expected Transaction Details	PrintExptTrnDtls
01100E	Print Expected Transaction Footer	PrintExptTrnFtr
01100F	Header Details Accepted in Expected Transactions	ACCEPTEDHDRDTLSINET
01100G	Item Details Accepted in Expected Transactions	ACCEPTEDITEMDTLSINET
01100H	Check Stock On Item Selection In Expected Transactions	ITEMSTOCKCHECKINET
01100J	Expected Transaction Printing On	SlipPrintingOnOff
01100K	Expected Transaction Form Length	ETFormLength
01100L	Allow Re-print of Cancelled Expected Transactions	AllowReprintForCancelledET
01100M	Print Expected Transaction Item Details	PrintExptTrnItemDtls
01200A1	Display Column Headings 1 (0 to 20)	DispColHeading1
01200A2	Display Column Headings 2 (21 to 40)	DispColHeading2
01200A3	Display Column Headings 2 (41 to 45)	DispColHeading3
01200B	Display Column Visible	DispColVisible
01200C	Display Column Position	DispColPosition
01200D	Display Column Data Type	DispColDataType
01200E	Display Column Width	DispColWidth
01200F	Display Column Align	DispColAlign
01200G	Total Columns/Display Columns For Display	TotalColDispColForDisplay
01300A1	Accept Column Headings 1 (0 to 20)	AccpColHeading1
01300A2	Accept Column Headings 2 (21 to 40)	AccpColHeading2
01300A3	Accept Column Headings 2 (41 to 44)	AccpColHeading3
01300B	Accept Column Visible	AccpColVisible
01300C	Accept Column Position	AccpColPosition
01300D	Accept Column Data Type	AccpColDataType
01300E	Accept Column Width	AccpColWidth
01300F	Accept Column Align	AccpColAlign
01300G	Total Columns/Accept Columns For Accept	TotalColAcptColForAccept
02000A	Printer Device Name Setting Required	PrnDeviceNmSetting
02000B	Printer Device Port (COM Port)	PrnDevicePortNm
02000C	Printer Device Port Band	PrnDevicePortBand
02001A	Printer Normal	PrnEscNormal
02001B	Printer Compressed	PrnEscCompressed
02001C	Printer Double Width	PrnEscDoubleWidth
02001D	Printer Normal Emphazised	PrnEscNormalEmp
02001E	Printer Compressed Emphazised	PrnEscCompressedEmp
02001F	Printer Double Width Emphazised	PrnEscDoubleWidthEmp
02002A	Printer Normal For IBM POS Machines	PrnEscNormal#DeviceId
02002B	Printer Compressed For IBM POS Machines	PrnEscCompressed#DeviceId
02002C	Printer Double Width For IBM POS Machines	PrnEscDoubleWidth#DeviceId
02002D	Printer Normal Emphazised For IBM POS Machines	PrnEscNormalEmp#DeviceId
02002E	Printer Compressed Emphazised For IBM POS Machines	PrnEscCompressedEmp#DeviceId
02002F	Printer Double Width Emphazised For IBM POS Machines	PrnEscDoubleWidthEmp#DeviceId
12346	Whether to Print Party Stk Doc No as Invoice or DC	WhetherPrintPartyStkDocNoasInvoiceorDC
800001	ID file - Value Computation for Sales Fields	IDValueSelection
800002	Franchisee - Credit Card Sales Return Handling	FrnchCreditReturn
800003	Local Application Path	LocalAppDcPath
800004	Mail Id Of The Sender	FromMailId
800005	Store And Floor DB Names	StoreFloorDbNms
800008	Overwrite Loaded PO Details	POImportAllowOverWrite
800009	Activate Stock No Browse in All PO fields	ActivateStkBrowseInPO
800010	Allow Customer Insertions on the Fly in Billing	CustomerInsertionsOnTheFly
800011	Permitted Operations for Customer Catalogue	OperationsAllowedInCustCat
800012A	Walk-in - Time Display Format	WalkInTimeDisplayFormat
800012B	Walk-in - Interval	WalkInInterval
800012C	Walk-in - Allow Internal to Edit	WalkInAllowInternalToEdit
800012D	Walk-in - Start Time	WalkInStartTime
800012E	Walk-in - End Time	WalkInEndTime
800012F	Walk-in - Allow To Edit Date	WalkInAllowDtEdit
800012G	Display Percentage of Sales In Daily Sales Report	PercentageOfSale
800013	Default Setting for Sales Man Selection in Billing	ActivateItemwiseSalesman
800014	ID/IM File - SKU Formation	IDIMSkuFormation
800015A	WEB Server Settings	WebServerSettings1
800015B	Web Server Settings for Download File	WebServerSettings2
800016A	Number of Report Header Lines to be Printed	RPTPgHdrPrintLines
800017A	Report Header Line#1	RPTPgHdr1
800017B	Report Header Line#2	RPTPgHdr2
800017C	Report Header Line#3	RPTPgHdr3
800017D	Report Header Line#4	RPTPgHdr4
800017E	Report Header Line#5	RPTPgHdr5
800017F	Report Header Line#6	RPTPgHdr6
800018A	Font Details of Report Header Line#1	RPTPgHdr1Font
800018B	Font Details of Report Header Line#2	RPTPgHdr2Font
800018C	Font Details of Report Header Line#3	RPTPgHdr3Font
800018D	Font Details of Report Header Line#4	RPTPgHdr4Font
800018E	Font Details of Report Header Line#5	RPTPgHdr5Font
800018F	Font Details of Report Header Line#6	RPTPgHdr6Font
800019A	Font Details of Report Header Line#7	RPTPgHdr7Font
800019B	Font Details of PageNo,PrintDate,ShoperDate	RPTPgHdr8Font
800020A	Print Report Generation Date	RPTPrintDates
800021	General Discount Reason Configuration in Billing	GenDiscReasonOpt
800022	General Discount Activation Option(s) And  Value Type(s) In Billing	GenDiscActOptAndValType
800022A	Customer Mandatory in Cash Payouts / Receipts	DispCustomerFldCashRcptsPayouts
800023	Discount Configuration in Billing	ShowAllDiscounts
800024	Pricing Master Import/Export Key Match	PMKeyMatch
800025	Auto Price Revision Update	AutoPriceRevisionUpdate
800026	In PO Details Report Which Qty Fields To Show	InPORptWhichQtyFldsToShow
800027	Accepting Customer In Expected Tranactions	AcceptCustInReCall
800028	Print Expected Transactions in Condensed Mode	PrintReCallTrnInCondensedMode
800029	Print Discount Percentage and Amount In Header	PrintDiscPercAndAmt
800030	Print Raymond Shop Number	PrintRaymondShopNo
800031	Apply LSQ For Line Item Calculation In Billing	ApplyLSQForLineItemCal
800031A	Print Classification Code/ Description in Qlty Field	PrintClassificationCodeDescInQltyFld
800032	Calculate General Discount on Specified Value Rather Than Bill Value	ApplyGenDiscOnSpfdVal
800033	Number of Blank Lines to be Printed at End of Slip Printing	NoOfBlankLinesInSlips
800034	Num Of Records Reserved For Last Piece Disc(Item Spc Disc) In SF Table	MaxRecForLPDInSFTable
800036	Year Opening Date	YOPDate
800037	Promt Error Message In Billing Updation	PromtErrMsgInBillingUpd
800037A	Whether Computed Cost to be Edited in Pricing Master	WhetherCompCostEditPricingMaster
800038	Default Payment Mode in Billing (Payment Details Frame)	DefaultPayModeInBilling
800039	Show Expected Transaction Title in Report	ShowExptTrnTitleReport
800040	Whether to Display Sales Person Code or Job Worker Code	WhetherDisplaySalePersonCdOrTailorCd
800041	Selective Updation of Price Revision	SelectiveUpdatePriceRevision
